property_address,property_ward,violation_fire_code,violation_description,number_of_violations
399 Spring Garden Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,3
399 Spring Garden Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,3
5795 Yonge St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",9
5795 Yonge St,NA,2.16.2.1,2.16.2.1 Installation requirements,9
5795 Yonge St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,9
5795 Yonge St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,9
5795 Yonge St,NA,2.2.3.3,2.2.3.3 Operation of closures,9
5795 Yonge St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,9
5795 Yonge St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,9
5795 Yonge St,NA,3.3.1.4,3.3.1.4 Pile clearance,9
503 Beecroft Rd,NA,1.1.2.3./7.3.1.2.,1.1.2.3./7.3.1.2. Records of Test (Smoke Control),2
75 Bamburgh Crcl,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",12
75 Bamburgh Crcl,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),12
75 Bamburgh Crcl,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),12
75 Bamburgh Crcl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,12
75 Bamburgh Crcl,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,12
75 Bamburgh Crcl,NA,2.8.3.4,2.8.3.4 Records,12
75 Bamburgh Crcl,NA,6.3.1.2,6.3.1.2 Monitoring,12
75 Bamburgh Crcl,NA,9.6.2.14,9.6.2.14 Transformer vaults,12
25 Bamburgh Crcl,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",12
25 Bamburgh Crcl,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),12
25 Bamburgh Crcl,NA,1.1.2.3./7.2.2.1.,1.1.2.3./7.2.2.1. Records of Test (Elevator),12
25 Bamburgh Crcl,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,12
25 Bamburgh Crcl,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,12
25 Bamburgh Crcl,NA,2.8.3.4,2.8.3.4 Records,12
25 Bamburgh Crcl,NA,6.3.1.2,6.3.1.2 Monitoring,12
25 Bamburgh Crcl,NA,9.6.2.14,9.6.2.14 Transformer vaults,12
55 Bamburgh Crcl,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",10
55 Bamburgh Crcl,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),10
55 Bamburgh Crcl,NA,2.2.3.1,2.2.3.1 Damaged closures,10
55 Bamburgh Crcl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,10
55 Bamburgh Crcl,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,10
55 Bamburgh Crcl,NA,2.8.2.5 (3),2.8.2.5 (3) Posting fire emergency procedures,10
55 Bamburgh Crcl,NA,6.2.6.13,6.2.6.13 Extinguishers for Class C fires,10
300 Alton Towers Crcl,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",23
300 Alton Towers Crcl,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),23
300 Alton Towers Crcl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,23
575 Adelaide St W,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,14
181 Wynford Dr,NA,1.1.2.3,1.1.2.3  (Do Not Use),24
181 Wynford Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,24
181 Wynford Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,24
10 Macey Ave,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",39
10 Macey Ave,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),39
10 Macey Ave,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),39
10 Macey Ave,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),39
10 Macey Ave,NA,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),39
10 Macey Ave,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),39
10 Macey Ave,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),39
10 Macey Ave,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),39
10 Macey Ave,NA,1.1.2.1./6.4.3.4.,1.1.2.1./6.4.3.4. Records of Test (Underground Main Pressure Tests),39
10 Macey Ave,NA,1.1.2.1./6.5.5.2.,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test),39
10 Macey Ave,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),39
10 Macey Ave,NA,1.1.2.1./6.5.5.4.,1.1.2.1./6.5.5.4. Records of Test (Dry Pipe Trip Test),39
10 Macey Ave,NA,1.1.2.1./6.5.5.5.,1.1.2.1./6.5.5.5. Records of Test (Water Supply Pressure Test),39
10 Macey Ave,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),39
10 Macey Ave,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),39
10 Macey Ave,NA,1.1.2.3,1.1.2.3  (Do Not Use),39
10 Macey Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,39
10 Macey Ave,NA,6.4.2.7,6.4.2.7 Hose cabinets,39
263 Pharmacy Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,21
263 Pharmacy Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,21
263 Pharmacy Ave,NA,2.7.3.3,2.7.3.3 Emergency lighting,21
263 Pharmacy Ave,NA,6.5.1.5,6.5.1.5 Obstructions,21
2283 Eglinton Ave E,NA,2.2.3.1,2.2.3.1 Damaged closures,3
2283 Eglinton Ave E,NA,2.5.1.2. (2),B.2.5.1.2.(2) FIRE DEPARTMENT ACCESS STANDPIPE/SPRINKLER,3
2283 Eglinton Ave E,NA,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,3
3 Brimley Rd,NA,2.2.1.1,2.2.1.1 Damaged fire separations,3
3 Brimley Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,3
3 Brimley Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,3
2550 Kingston Rd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,32
2550 Kingston Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,32
2550 Kingston Rd,NA,2.7.3.1,2.7.3.1 Exit signs,32
2550 Kingston Rd,NA,2.7.3.2,2.7.3.2 Exit Signs,32
2550 Kingston Rd,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,32
2550 Kingston Rd,NA,6.2.1.2,6.2.1.2 Maintenance,32
2550 Kingston Rd,NA,6.2.7.2,6.2.7.2 Examination,32
2550 Kingston Rd,NA,6.3.1.8,6.3.1.8 Repairs and alterations to fire alarm systems,32
2550 Kingston Rd,NA,9.6.3.6,9.6.3.6 Exit signs,32
2550 Kingston Rd,NA,9.6.5.6,9.6.5.6 Firefighters' elevators,32
10 Stonehill Crt,NA,1.1.2.1.(1),1.1.2.1.(1),10
10 Stonehill Crt,NA,2.2.1.1.,2.2.1.1.,10
10 Stonehill Crt,NA,2.7.3.2.(1),2.7.3.2.(1),10
10 Stonehill Crt,NA,6.2.4.2,6.2.4.2,10
330 Alton Towers Crcl,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",9
330 Alton Towers Crcl,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),9
330 Alton Towers Crcl,NA,1.1.2.3./6.6.5.6.,1.1.2.3./6.6.5.6. Records of Test (Hydrant Water Flow),9
330 Alton Towers Crcl,NA,1.1.2.3./7.2.2.1.,1.1.2.3./7.2.2.1. Records of Test (Elevator),9
330 Alton Towers Crcl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,9
330 Alton Towers Crcl,NA,2.2.3.5,2.2.3.5 Inspection of fire dampers and fire-stop flaps,9
330 Alton Towers Crcl,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,9
330 Alton Towers Crcl,NA,2.8.2.5 (1),2.8.2.5 (1) Posting fire emergency procedures,9
330 Alton Towers Crcl,NA,6.3.1.2,6.3.1.2 Monitoring,9
350 Alton Towers Crcl,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",13
350 Alton Towers Crcl,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),13
350 Alton Towers Crcl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,13
350 Alton Towers Crcl,NA,2.2.3.5,2.2.3.5 Inspection of fire dampers and fire-stop flaps,13
350 Alton Towers Crcl,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,13
350 Alton Towers Crcl,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,13
350 Alton Towers Crcl,NA,6.6.3.3,6.6.3.3 Inspection of fire pumps,13
3110 Sheppard Ave E,NA,1.1.2.1.(1),1.1.2.1.(1),6
3110 Sheppard Ave E,NA,2.2.3.1.(1),2.2.3.1.(1),6
3091 Eglinton Ave E,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",11
3091 Eglinton Ave E,NA,2.2.2.1,2.2.2.1 Damaged fire separations,11
3091 Eglinton Ave E,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,11
3091 Eglinton Ave E,NA,6.2.1.2,6.2.1.2 Maintenance,11
3091 Eglinton Ave E,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,11
3091 Eglinton Ave E,NA,6.3.4.3,6.3.4.3 Duty to maintain in operating condition,11
3091 Eglinton Ave E,NA,6.4.3.7,6.4.3.7. Fire Department Connections,11
3091 Eglinton Ave E,NA,CH 470 - S.7,CH 470 - S.7,11
3479 St Clair Ave E,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),15
3479 St Clair Ave E,NA,2.16.2.1,2.16.2.1 Installation requirements,15
3479 St Clair Ave E,NA,2.2.3.2,2.2.3.2 Maintenance of closures,15
3479 St Clair Ave E,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,15
3479 St Clair Ave E,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,15
3479 St Clair Ave E,NA,6.2.1.2,6.2.1.2 Maintenance,15
3479 St Clair Ave E,NA,6.2.6.7,6.2.6.7 Extinguishers for Class B fires,15
3479 St Clair Ave E,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,15
3479 St Clair Ave E,NA,6.4.1.2,6.4.1.2 Testing,15
3479 St Clair Ave E,NA,6.4.3.7,6.4.3.7. Fire Department Connections,15
3161 Eglinton Ave E,NA,2.16.2.1,2.16.2.1 Installation requirements,11
3161 Eglinton Ave E,NA,2.2.3.2,2.2.3.2 Maintenance of closures,11
3161 Eglinton Ave E,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,11
3161 Eglinton Ave E,NA,9.6.3.1,9.6.3.1 Access to exits,11
330 McCowan Rd,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),15
330 McCowan Rd,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),15
330 McCowan Rd,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),15
330 McCowan Rd,NA,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),15
330 McCowan Rd,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),15
330 McCowan Rd,NA,1.1.2.1./6.4.3.7.(1),1.1.2.1./6.4.3.7.(1) Records of Test (Standpipe - FD Connections),15
330 McCowan Rd,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),15
330 McCowan Rd,NA,1.1.2.1./6.5.5.4.,1.1.2.1./6.5.5.4. Records of Test (Dry Pipe Trip Test),15
330 McCowan Rd,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),15
330 McCowan Rd,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),15
330 McCowan Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,15
330 McCowan Rd,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,15
330 McCowan Rd,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,15
330 McCowan Rd,NA,CH 470 - S.6,CH 470 - S.6,15
268 Ridley Blvd,8,1.1.1.2,"1.1.1.2 Check, inspect and test",7
3131 Eglinton Ave E,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",11
3131 Eglinton Ave E,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),11
3131 Eglinton Ave E,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),11
3131 Eglinton Ave E,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),11
3131 Eglinton Ave E,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),11
3131 Eglinton Ave E,NA,1.1.2.1./6.5.5.5.,1.1.2.1./6.5.5.5. Records of Test (Water Supply Pressure Test),11
3131 Eglinton Ave E,NA,2.7.3.1,2.7.3.1 Exit signs,11
2040 Don Mills Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,6
2040 Don Mills Rd,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,6
170 Fairview Mall Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,18
170 Fairview Mall Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,18
170 Fairview Mall Dr,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,18
170 Fairview Mall Dr,NA,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,18
180 Fairview Mall Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,8
180 Fairview Mall Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,8
180 Fairview Mall Dr,NA,2.4.1.3,2.4.1.3 Waste receptacles,8
180 Fairview Mall Dr,NA,6.2.7.2,6.2.7.2 Examination,8
855 Roselawn Ave,8,1.1.1.2,"1.1.1.2 Check, inspect and test",7
855 Roselawn Ave,8,1.1.2.3./6.3.3.8,1.1.2.3./6.3.3.8 - Records of Test (Smoke Alarms),7
1 Rowntree Rd,1,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,9
135 Wynford Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,14
135 Wynford Dr,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,14
133 Wynford Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,12
133 Wynford Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,12
133 Wynford Dr,NA,2.7.3.2,2.7.3.2 Exit Signs,12
1202 York Mills Rd,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",15
1202 York Mills Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,15
1202 York Mills Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,15
1202 York Mills Rd,NA,6.2.1.2,6.2.1.2 Maintenance,15
1202 York Mills Rd,NA,6.4.2.6,6.4.2.6 Standpipe identification,15
447 Walmer Rd,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",11
5 Deauville Lane,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),14
5 Deauville Lane,NA,2.2.2.1,2.2.2.1 Damaged fire separations,14
5 Deauville Lane,NA,2.2.3.2,2.2.3.2 Maintenance of closures,14
5 Deauville Lane,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,14
5 Deauville Lane,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,14
5 Deauville Lane,NA,2.8.3.4,2.8.3.4 Records,14
5 Deauville Lane,NA,6.3.1.2,6.3.1.2 Monitoring,14
5 Deauville Lane,NA,6.5.6.5 (5),6.5.6.5 (5) Spare sprinkler heads,14
449 Walmer Rd,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",11
45 Dunfield Ave,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),18
45 Dunfield Ave,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),18
45 Dunfield Ave,NA,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),18
45 Dunfield Ave,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),18
45 Dunfield Ave,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),18
45 Dunfield Ave,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),18
45 Dunfield Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,18
215 Fort York Blvd,NA,7.2.2.1,7.2.2.1 Testing,9
1011 Lansdowne Ave,9,2.7.2.2,"2.7.2.2 Requirements for locking, latching and fastening devices",6
1011 Lansdowne Ave,9,6.2.1.2,6.2.1.2 Maintenance,6
1011 Lansdowne Ave,9,9.6.2.11,9.6.2.11 Refuse storage rooms,6
3174 Bathurst St,8,1.1.2.3./2.7.3.3.(3),1.1.2.3./2.7.3.3.(3) Records of Test (Emergency Lighting),11
3174 Bathurst St,8,1.1.2.3./6.2.7.5.,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),11
3174 Bathurst St,8,1.1.2.3./6.3.2.2.,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),11
3174 Bathurst St,8,1.1.2.3./6.3.2.6.,1.1.2.3./6.3.2.6. Records of Test (Smoke Alarms),11
3174 Bathurst St,8,1.1.2.3./6.4.3.7.(1),1.1.2.3./6.4.3.7.(1) Records of Test (Standpipe - FD Connections),11
3174 Bathurst St,8,1.1.2.3./6.5.5.3.,1.1.2.3./6.5.5.3. Records of Test (Water Flow Test),11
3174 Bathurst St,8,1.1.2.3./6.7.1.1.,1.1.2.3./6.7.1.1. Records of Test (Emergency Power Systems),11
3174 Bathurst St,8,2.2.3.2,2.2.3.2 Maintenance of closures,11
145 Strathmore Blvd,NA,2.7.2.1,2.7.2.1 Door release hardware,10
633 Lake Shore Blvd W,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,1
352 Front St W,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),7
352 Front St W,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),7
352 Front St W,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),7
352 Front St W,NA,2.2.3.2,2.2.3.2 Maintenance of closures,7
38 Monte Kwinter Crt,6,2.2.3.2,2.2.3.2 Maintenance of closures,1
20 Monte Kwinter Crt,6,1.1.1.2,"1.1.1.2 Check, inspect and test",2
2999 Jane St,7,2.5.1.2.(2),2.5.1.2.(2),17
10 Delisle Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,17
10 Delisle Ave,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,17
130 Gowan Ave,NA,2.1.2.2,2.1.2.2 Hazardous activities,25
130 Gowan Ave,NA,2.2.3.1,2.2.3.1 Damaged closures,25
130 Gowan Ave,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,25
1 Benvenuto Pl,NA,1.1.2.1./6.4.3.7.(1),1.1.2.1./6.4.3.7.(1) Records of Test (Standpipe - FD Connections),20
1 Benvenuto Pl,NA,2.2.2.1,2.2.2.1 Damaged fire separations,20
1 Benvenuto Pl,NA,2.2.3.1,2.2.3.1 Damaged closures,20
1 Benvenuto Pl,NA,2.2.3.1,2.2.3.1 Damaged closures,20
1 Benvenuto Pl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,20
1 Benvenuto Pl,NA,2.6.1.13,2.6.1.13 Maintenance of exhaust and fire protection systems,20
1 Benvenuto Pl,NA,6.4.3.7,6.4.3.7. Fire Department Connections,20
1 Benvenuto Pl,NA,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,20
111 Lawton Blvd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,9
111 Lawton Blvd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,9
111 Lawton Blvd,NA,2.2.3.3,2.2.3.3 Operation of closures,9
1463 Eglinton Ave W,NA,2.2.3.2,2.2.3.2 Maintenance of closures,25
1463 Eglinton Ave W,NA,2.2.3.2,2.2.3.2 Maintenance of closures,25
1463 Eglinton Ave W,NA,2.2.3.2,2.2.3.2 Maintenance of closures,25
1463 Eglinton Ave W,NA,2.2.3.4,2.2.3.4 Door in a fire separation,25
1463 Eglinton Ave W,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,25
1463 Eglinton Ave W,NA,2.7.2.1,2.7.2.1 Door release hardware,25
1463 Eglinton Ave W,NA,6.5.6.5,6.5.6.5 Spare sprinkler heads,25
350 Queens Quay W,NA,2.2.2.1,2.2.2.1 Damaged fire separations,3
350 Queens Quay W,NA,2.2.3.1,2.2.3.1 Damaged closures,3
350 Queens Quay W,NA,9.6.3.6,9.6.3.6 Exit signs,3
125 Lawton Blvd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,8
125 Lawton Blvd,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,8
125 Lawton Blvd,NA,6.4.3.7,6.4.3.7. Fire Department Connections,8
5 Rosehill Ave,NA,6.4.3.7,6.4.3.7. Fire Department Connections,5
38 Joe Shuster Way,NA,1.1.2.1,1.1.2.1 Records to be prepared,13
38 Joe Shuster Way,NA,1.1.2.3,1.1.2.3  (Do Not Use),13
38 Joe Shuster Way,NA,2.2.2.1,2.2.2.1 Damaged fire separations,13
38 Joe Shuster Way,NA,2.2.3.2,2.2.3.2 Maintenance of closures,13
38 Joe Shuster Way,NA,2.5.1.2. (2),B.2.5.1.2.(2) FIRE DEPARTMENT ACCESS STANDPIPE/SPRINKLER,13
77 Harbour Sq,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),18
77 Harbour Sq,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),18
77 Harbour Sq,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),18
77 Harbour Sq,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),18
77 Harbour Sq,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),18
77 Harbour Sq,NA,1.1.2.1./6.6.5.6.,1.1.2.1./6.6.5.6. Records of Test (Hydrant Water Flow),18
77 Harbour Sq,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),18
77 Harbour Sq,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),18
77 Harbour Sq,NA,2.2.3.1,2.2.3.1 Damaged closures,18
77 Harbour Sq,NA,2.2.3.4,2.2.3.4 Door in a fire separation,18
77 Harbour Sq,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,18
77 Harbour Sq,NA,2.7.2.1,2.7.2.1 Door release hardware,18
77 Harbour Sq,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,18
77 Harbour Sq,NA,6.4.2.1,6.4.2.1 Hose stations,18
8 Covington Rd,8,1.1.1.2,"1.1.1.2 Check, inspect and test",9
8 Covington Rd,8,1.1.2.3./7.2.2.1.,1.1.2.3./7.2.2.1. Records of Test (Elevator),9
8 Covington Rd,8,6.7.1.1,6.7.1.1 Emergency Power Systems,9
8 Covington Rd,8,CH 470 - S.6,CH 470 - S.6,9
33 Dunfield Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,4
1 Balmoral Ave,NA,2.2.3.1,2.2.3.1 Damaged closures,14
1 Balmoral Ave,NA,2.7.2.2,"2.7.2.2 Requirements for locking, latching and fastening devices",14
1 Balmoral Ave,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,14
1530 Victoria Park Ave,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",23
1530 Victoria Park Ave,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),23
1530 Victoria Park Ave,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),23
1530 Victoria Park Ave,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),23
1530 Victoria Park Ave,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),23
1530 Victoria Park Ave,NA,2.2.2.1,2.2.2.1 Damaged fire separations,23
1530 Victoria Park Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,23
1530 Victoria Park Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,23
1530 Victoria Park Ave,NA,2.4.1.3,2.4.1.3 Waste receptacles,23
1530 Victoria Park Ave,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,23
1530 Victoria Park Ave,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,23
1530 Victoria Park Ave,NA,6.3.1.2,6.3.1.2 Monitoring,23
1530 Victoria Park Ave,NA,6.4.2.6. (1),B.6.4.2.6.(1) STANDPIPE IDENTIFICATION,23
1530 Victoria Park Ave,NA,9.6.3.6,9.6.3.6 Exit signs,23
2191 Yonge St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",5
2191 Yonge St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,5
2191 Yonge St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,5
2191 Yonge St,NA,2.4.1.3,2.4.1.3 Waste receptacles,5
2191 Yonge St,NA,6.4.1.3,6.4.1.3 Fire department connections,5
120 Dallimore Crcl,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,12
120 Dallimore Crcl,NA,2.8.3.2,2.8.3.2 Frequency,12
120 Dallimore Crcl,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,12
73 McLaughlin Rd,7,1.1.2.1,1.1.2.1 Records to be prepared,5
73 McLaughlin Rd,7,6.4.3.7,6.4.3.7. Fire Department Connections,5
340 Assiniboine Rd,7,1.1.2.1,1.1.2.1 Records to be prepared,11
340 Assiniboine Rd,7,6.4.3.7,6.4.3.7. Fire Department Connections,11
133 Wynford Dr,NA,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,12
32 Camden St,NA,1.1.2.3,1.1.2.3  (Do Not Use),9
